Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21.6,16.5,27.5,16.5 - 27.5,18.1-21.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,11.5,6.6,18.1,6.6 - 18.1,11.5-18.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,14.4,10.0,19.8,10.0 - 19.8,11.5-18.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.4,19.3,34.5,19.3 - 34.5,24.8-32.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21.9,14.6,30.8,14.6 - 30.8,21.7-24.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,17.4,12.4,23.2,12.4 - 23.2,11.5-18.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.9,16.4,32.8,16.4 - 32.8,21.7-24.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,31.5,22.2,42.1,22.2 - 42.1,24.8-32.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.8,12.0,27.2,12.0 - 27.2,18.1-21.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.0,12.7,24.2,12.7 - 24.2,11.5-18.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.1,17.6,31.6,17.6 - 31.6,21.7-24.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,16.4,9.5,25.6,9.5 - 25.6,11.5-18.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.2,16.0,29.4,16.0 - 29.4,21.7-24.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.8,12.2,26.9,12.2 - 26.9,18.1-21.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,30.2,25.9,34.8,25.9 - 34.8,24.8-32.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.9,20.3,32.3,20.3 - 32.3,24.8-32.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,30.6,21.1,41.3,21.1 - 41.3,24.8-32.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.6,12.1,26.8,12.1 - 26.8,18.1-21.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,17.7,9.6,28.7,9.6 - 28.7,11.5-18.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,16.1,11.7,21.3,11.7 - 21.3,11.5-18.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.1,15.0,23.8,15.0 - 23.8,18.1-21.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.4,14.9,24.5,14.9 - 24.5,18.1-21.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.0,13.1,35.7,13.1 - 35.7,21.7-24.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.1,17.6,29.3,17.6 - 29.3,21.7-24.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,26.3,22.1,30.8,22.1 - 30.8,24.8-32.1,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.5,12.1,29.0,12.1 - 29.0,18.1-21.6,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.7,17.2,33.4,17.2 - 33.4,21.7-24.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,,,,,Estimate not reliable.,1.0
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.5,23.7,25.3,23.7 - 25.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,18 - 29 years,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.5,20.2,24.9,20.2 - 24.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,30 - 39 years,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.8,21.1,24.6,21.1 - 24.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.6,22.2,25.1,22.2 - 25.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,50 - 59 years,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.0,24.3,27.9,24.3 - 27.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,60 - 69 years,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.1,23.7,26.5,23.7 - 26.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,70 - 79 years,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.6,24.8,28.5,24.8 - 28.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,80 years and above,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,28.3,23.6,33.4,23.6 - 33.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Male,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.5,20.3,22.6,20.3 - 22.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Female,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.2,26.1,28.4,26.1 - 28.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.6,25.0,30.3,25.0 - 30.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.6,21.8,23.4,21.8 - 23.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,30.0,27.5,32.6,27.5 - 32.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.8,21.5,28.4,21.5 - 28.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,28.6,25.1,32.3,25.1 - 32.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,29.5,24.6,34.8,24.6 - 34.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,High school diploma or GED,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.1,20.5,23.7,20.5 - 23.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.5,24.3,26.8,24.3 - 26.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.6,23.8,25.4,23.8 - 25.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,With disability,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,38.8,36.4,41.3,36.4 - 41.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,Without disability,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.2,21.4,23.0,21.4 - 23.0,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.6,16.5,27.3,16.5 - 27.3,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.7,19.0,26.9,19.0 - 26.9,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.9,22.0,30.0,22.0 - 30.0,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.0,11.9,20.7,11.9 - 20.7,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,31.3,28.4,34.3,28.4 - 34.3,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.9,20.1,25.9,20.1 - 25.9,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.5,20.1,27.2,20.1 - 27.2,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.1,21.6,33.1,21.6 - 33.1,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,39.6,33.7,45.9,33.7 - 45.9,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.5,22.0,29.3,22.0 - 29.3,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.4,19.9,29.3,19.9 - 29.3,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.3,20.2,30.9,20.2 - 30.9,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.7,16.9,24.8,16.9 - 24.8,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.0,21.0,29.3,21.0 - 29.3,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.8,17.2,24.9,17.2 - 24.9,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.0,12.7,19.8,12.7 - 19.8,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.2,12.5,20.4,12.5 - 20.4,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.2,16.2,26.9,16.2 - 26.9,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.0,18.5,30.1,18.5 - 30.1,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.6,19.4,28.3,19.4 - 28.3,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.7,24.2,31.4,24.2 - 31.4,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,30.8,28.0,33.7,28.0 - 33.7,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.0,19.4,27.0,19.4 - 27.0,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.6,17.1,24.4,17.1 - 24.4,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,12.8,9.4,16.9,9.4 - 16.9,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.7,15.9,26.1,15.9 - 26.1,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.4,12.8,22.9,12.8 - 22.9,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.0,13.0,21.7,13.0 - 21.7,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.9,19.2,26.9,19.2 - 26.9,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.0,18.7,32.2,18.7 - 32.2,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.9,23.9,32.3,23.9 - 32.3,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,28.9,24.4,33.7,24.4 - 33.7,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.5,20.0,29.5,20.0 - 29.5,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.3,20.6,30.5,20.6 - 30.5,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,9.1,6.4,12.4,6.4 - 12.4,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.5,15.0,22.4,15.0 - 22.4,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.5,18.7,31.1,18.7 - 31.1,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,29.1,25.5,32.9,25.5 - 32.9,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,26.7,22.5,31.3,22.5 - 31.3,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,30.4,25.5,35.7,25.5 - 35.7,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.6,15.7,26.3,15.7 - 26.3,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,13.6,9.9,18.1,9.9 - 18.1,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.2,16.5,24.3,16.5 - 24.3,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.2,21.2,27.5,21.2 - 27.5,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.8,16.5,21.3,16.5 - 21.3,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.1,15.1,28.1,15.1 - 28.1,19.8-23.0,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,28.4,23.9,33.2,23.9 - 33.2,25.6-39.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.3,21.0,25.8,21.0 - 25.8,23.1-25.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.7,15.1,24.9,15.1 - 24.9,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.8,14.3,21.6,14.3 - 21.6,9.1-19.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,12.5,8.5,17.4,8.5 - 17.4,9.1-19.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.2,21.2,23.1,21.2 - 23.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,High school diploma or GED or lower,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20.9,18.5,23.4,18.5 - 23.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Some college/Associate's degree,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.6,21.0,24.3,21.0 - 24.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Bachelor's degree or higher,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.1,22.0,24.1,22.0 - 24.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,Hispanic or Latino,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.7,22.3,29.3,22.3 - 29.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic White, single race",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.6,18.5,20.7,18.5 - 20.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Black, single race",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,27.3,23.9,31.0,23.9 - 31.0,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Asian, single race",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.3,20.6,28.3,20.6 - 28.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic, other races and multiple races",3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.8,18.5,27.7,18.5 - 27.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,Yes,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,31.2,20.6,43.3,20.6 - 43.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,No,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.0,21.1,22.9,21.1 - 22.9,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Private only,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.6,20.5,22.8,20.5 - 22.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Any public,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.6,21.3,26.0,21.3 - 26.0,,
